household_id,month,household_size,region,income_group,ev_adoption_month,ev_cohort,post_adoption,months_since_adoption,avg_temperature_c,electricity_kwh
H001,2021-01-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-44,0.77,237.4
H002,2021-01-01,1,Daegu,Low,2022-09-01,2022Q3,0,-20,0.77,226.33
H003,2021-01-01,3,Gyeonggi,Middle,,,0,,0.77,266.9
H004,2021-01-01,2,Seoul,High,2023-06-01,2023Q2,0,-29,0.77,257.49
H005,2021-01-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-33,0.77,284.75
H006,2021-01-01,2,Seoul,Middle,,,0,,0.77,259.1
H007,2021-01-01,5,Daegu,Low,,,0,,0.77,282.56
H008,2021-01-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-16,0.77,280.86
H009,2021-01-01,5,Gyeonggi,High,,,0,,0.77,350.37
H010,2021-01-01,2,Busan,Low,2024-11-01,2024Q4,0,-46,0.77,234.55
H011,2021-01-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-47,0.77,192.3
H012,2021-01-01,3,Busan,High,,,0,,0.77,338.96
H013,2021-01-01,2,Seoul,High,,,0,,0.77,252.41
H014,2021-01-01,3,Busan,Low,,,0,,0.77,254.92
H015,2021-01-01,4,Daegu,Low,,,0,,0.77,317.63
H016,2021-01-01,4,Daegu,High,2022-03-01,2022Q1,0,-14,0.77,374.7
H017,2021-01-01,3,Seoul,High,2024-07-01,2024Q3,0,-42,0.77,311.47
H018,2021-01-01,3,Daegu,Middle,,,0,,0.77,258.3
H019,2021-01-01,3,Seoul,Middle,,,0,,0.77,329.76
H020,2021-01-01,4,Busan,Low,,,0,,0.77,369.68
H021,2021-01-01,3,Busan,High,2024-05-01,2024Q2,0,-40,0.77,323.27
H022,2021-01-01,4,Gyeonggi,Low,,,0,,0.77,290.03
H023,2021-01-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-27,0.77,241.38
H024,2021-01-01,1,Seoul,Low,,,0,,0.77,303.82
H025,2021-01-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-42,0.77,159.77
H026,2021-01-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-46,0.77,333.38
H027,2021-01-01,2,Daegu,Low,,,0,,0.77,224.37
H028,2021-01-01,2,Gyeonggi,Low,,,0,,0.77,302.78
H029,2021-01-01,1,Seoul,High,2024-08-01,2024Q3,0,-43,0.77,256.45
H030,2021-01-01,2,Gyeonggi,Middle,,,0,,0.77,213.24
H031,2021-01-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-29,0.77,311.48
H032,2021-01-01,3,Daegu,High,2024-11-01,2024Q4,0,-46,0.77,293.75
H033,2021-01-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-43,0.77,215.66
H034,2021-01-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-19,0.77,176.66
