날짜,종가
2025.10.15,434.14
2025.10.14,429.24
2025.10.13,435.9
2025.10.10,413.49
2025.10.9,435.54
2025.10.8,438.69
2025.10.7,433.09
2025.10.6,453.25
2025.10.3,429.83
2025.10.2,436
2025.10.1,459.46
2025.9.30,444.72
2025.9.29,443.21
2025.9.26,440.4
2025.9.25,423.39
2025.9.24,442.79
2025.9.23,425.85
2025.9.22,434.21
2025.9.19,426.07
2025.9.18,416.85
2025.9.17,425.86
2025.9.16,421.62
2025.9.15,410.04
2025.9.12,395.94
2025.9.11,368.81
2025.9.10,347.79
2025.9.9,346.97
2025.9.8,346.4
2025.9.5,350.84
2025.9.4,338.53
2025.9.3,334.09
2025.9.2,329.36
2025.8.29,333.87
2025.8.28,345.98
2025.8.27,349.6
2025.8.26,351.67
2025.8.25,346.6
2025.8.22,340.01
2025.8.21,320.11
2025.8.20,323.9
2025.8.19,329.31
2025.8.18,335.16
2025.8.15,330.56
2025.8.14,335.58
2025.8.13,339.38
2025.8.12,340.84
2025.8.11,339.03
2025.8.8,329.65
2025.8.7,322.27
2025.8.6,319.91
2025.8.5,308.72
2025.8.4,309.26
2025.8.1,302.63
2025.7.31,308.27
2025.7.30,319.04
2025.7.29,321.2
2025.7.28,325.59
2025.7.25,316.06
2025.7.24,305.3
2025.7.23,332.56
2025.7.22,332.11
2025.7.21,328.49
2025.7.18,329.65
2025.7.17,319.41
2025.7.16,321.67
2025.7.15,310.78
2025.7.14,316.9
2025.7.11,313.51
2025.7.10,309.87
2025.7.9,295.88
2025.7.8,297.81
2025.7.7,293.94
2025.7.3,315.35
2025.7.2,315.65
2025.7.1,300.71
2025.6.30,317.66
2025.6.27,323.63
2025.6.26,325.78
2025.6.25,327.55
2025.6.24,340.47
2025.6.23,348.68
2025.6.20,322.16
2025.6.18,322.05
2025.6.17,316.35
2025.6.16,329.13
2025.6.13,325.31
2025.6.12,319.11
2025.6.11,326.43
2025.6.10,326.09
2025.6.9,308.58
2025.6.6,295.14
2025.6.5,284.7
2025.6.4,332.05
2025.6.3,344.27
2025.6.2,342.69
2025.5.30,346.46
2025.5.29,358.43
2025.5.28,356.9
2025.5.27,362.89
2025.5.23,339.34
2025.5.22,341.04
2025.5.21,334.62
2025.5.20,343.82
2025.5.19,342.09
2025.5.16,349.98
2025.5.15,342.82
2025.5.14,347.68
2025.5.13,334.07
2025.5.12,318.38
2025.5.9,298.26
2025.5.8,284.82
2025.5.7,276.22
2025.5.6,275.35
2025.5.5,280.26
2025.5.2,287.21
2025.5.1,280.52
2025.4.30,282.16
2025.4.29,292.03
2025.4.28,285.88
2025.4.25,284.95
2025.4.24,259.51
2025.4.23,250.74
2025.4.22,237.97
2025.4.21,227.5
2025.4.17,241.37
2025.4.16,241.55
2025.4.15,254.11
2025.4.14,252.35
2025.4.11,252.31
2025.4.10,252.4
2025.4.9,272.2
2025.4.8,221.86
2025.4.7,233.29
2025.4.4,239.43
2025.4.3,267.28
2025.4.2,282.76
2025.4.1,268.46
2025.3.31,259.16
2025.3.28,263.55
2025.3.27,273.13
2025.3.26,272.06
2025.3.25,288.14
2025.3.24,278.39
2025.3.21,248.71
2025.3.20,236.26
2025.3.19,235.86
2025.3.18,225.31
2025.3.17,238.01
2025.3.14,249.98
2025.3.13,240.68
2025.3.12,248.09
2025.3.11,230.58
2025.3.10,222.15
2025.3.7,262.67
2025.3.6,263.45
2025.3.5,279.1
2025.3.4,272.04
2025.3.3,284.65
2025.2.28,292.98
2025.2.27,281.95
2025.2.26,290.8
2025.2.25,302.8
2025.2.24,330.53
2025.2.21,337.8
2025.2.20,354.4
2025.2.19,360.56
2025.2.18,354.11
2025.2.14,355.84
2025.2.13,355.94
2025.2.12,336.51
2025.2.11,328.5
2025.2.10,350.73
2025.2.7,361.62
2025.2.6,374.32
2025.2.5,378.17
2025.2.4,392.21
2025.2.3,383.68
2025.1.31,404.6
2025.1.30,400.28
2025.1.29,389.1
2025.1.28,398.09
2025.1.27,397.15
2025.1.24,406.58
2025.1.23,412.38
