"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 15","434.14","434.82","438.57","433.84","3.39M","1.14%"
"2025- 10- 14","429.24","426.79","434.20","417.86","72.67M","-1.53%"
"2025- 10- 13","435.90","423.53","436.89","419.70","79.55M","5.42%"
"2025- 10- 10","413.49","436.54","443.13","411.45","112.11M","-5.06%"
"2025- 10- 09","435.54","431.81","436.35","426.18","69.34M","-0.72%"
"2025- 10- 08","438.69","437.57","441.33","425.23","71.19M","1.29%"
"2025- 10- 07","433.09","447.82","452.68","432.45","102.30M","-4.45%"
"2025- 10- 06","453.25","440.75","453.55","436.69","85.32M","5.45%"
"2025- 10- 03","429.83","443.29","446.77","416.58","133.19M","-1.42%"
"2025- 10- 02","436.00","470.54","470.75","435.57","137.01M","-5.11%"
"2025- 10- 01","459.46","443.80","462.29","440.75","98.12M","3.31%"
"2025- 09- 30","444.72","441.52","445.00","433.12","74.36M","0.34%"
"2025- 09- 29","443.21","444.35","450.98","439.50","79.49M","0.64%"
"2025- 09- 26","440.40","428.30","440.47","421.02","101.63M","4.02%"
"2025- 09- 25","423.39","435.24","435.35","419.08","96.75M","-4.38%"
"2025- 09- 24","442.79","429.83","444.21","429.03","93.13M","3.98%"
"2025- 09- 23","425.85","439.88","440.97","423.72","83.42M","-1.93%"
"2025- 09- 22","434.21","431.11","444.98","429.13","97.11M","1.91%"
"2025- 09- 19","426.07","421.82","429.47","421.72","93.13M","2.21%"
"2025- 09- 18","416.85","428.86","432.22","416.56","90.45M","-2.12%"
"2025- 09- 17","425.86","415.75","428.31","409.67","106.13M","1.01%"
"2025- 09- 16","421.62","414.49","423.25","411.43","104.29M","2.82%"
"2025- 09- 15","410.04","423.13","425.70","402.43","163.82M","3.56%"
"2025- 09- 12","395.94","370.94","396.69","370.24","168.16M","7.36%"
"2025- 09- 11","368.81","350.17","368.99","347.60","103.76M","6.04%"
"2025- 09- 10","347.79","350.55","356.33","346.07","72.12M","0.24%"
"2025- 09- 09","346.97","348.44","350.77","343.82","53.82M","0.16%"
"2025- 09- 08","346.40","354.64","358.44","344.84","75.21M","-1.27%"
"2025- 09- 05","350.84","348.00","355.87","344.68","108.99M","3.64%"
"2025- 09- 04","338.53","336.15","338.89","331.48","60.71M","1.33%"
"2025- 09- 03","334.09","335.20","343.33","328.51","88.73M","1.44%"
"2025- 09- 02","329.36","328.23","333.33","325.60","58.39M","-1.35%"
"2025- 08- 29","333.87","347.23","348.75","331.70","81.15M","-3.50%"
"2025- 08- 28","345.98","350.91","353.55","340.26","67.90M","-1.04%"
"2025- 08- 27","349.60","351.94","355.39","349.16","65.52M","-0.59%"
"2025- 08- 26","351.67","344.93","351.90","343.72","76.65M","1.46%"
