일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/04/14","56200","1000","1.81","56300","56700","55800","12852613","722365102751","332683651216400","5919637922"
"2025/04/11","55200","-1200","-2.13","55600","55700","54800","13930480","768599025700","326764013294400","5919637922"
"2025/04/10","56400","3400","6.42","56600","56700","55000","22948172","1287044405375","333867578800800","5919637922"
"2025/04/09","53000","-500","-0.93","53300","54300","52900","20576960","1101141051250","313740809866000","5919637922"
"2025/04/08","53500","300","0.56","55000","55300","53300","25532845","1382305707900","316700628827000","5919637922"
"2025/04/07","53200","-2900","-5.17","53300","54100","53100","31998883","1713617858300","314924737450400","5919637922"
"2025/04/04","56100","-1500","-2.60","56200","58200","55700","23527139","1330710237050","332091687424200","5919637922"
"2025/04/03","57600","-1200","-2.04","56900","57800","56900","19508076","1118162896800","340971144307200","5919637922"
"2025/04/02","58800","0","0.00","58800","59400","58300","14402297","847775481500","348074709813600","5919637922"
"2025/04/01","58800","1000","1.73","58700","59600","57900","13841706","813516599850","348074709813600","5919637922"
"2025/03/31","57800","-2400","-3.99","59500","59700","57800","17633494","1029323854400","342155071891600","5919637922"
"2025/03/28","60200","-1600","-2.59","60700","61100","60000","16282514","983699710050","356362202904400","5919637922"
"2025/03/27","61800","400","0.65","60900","62000","60800","20389790","1256945832435","365833623579600","5919637922"
"2025/03/26","61400","1600","2.68","59800","61400","59700","16431645","1001626513602","363465768410800","5919637922"
"2025/03/25","59800","-700","-1.16","60900","61100","59500","17259455","1039802205362","353994347735600","5919637922"
"2025/03/24","60500","-1200","-1.94","61200","61600","60500","14088094","860212862100","358138094281000","5919637922"
"2025/03/21","61700","1500","2.49","60900","61700","60400","40155612","2460691162900","365241659787400","5919637922"
"2025/03/20","60200","1700","2.91","59200","60300","58500","34989004","2088152199012","356362202904400","5919637922"
"2025/03/19","58500","900","1.56","57400","59200","57400","29421759","1727220604750","346298818437000","5919637922"
"2025/03/18","57600","0","0.00","58800","59000","57300","28138594","1638462319270","340971144307200","5919637922"
"2025/03/17","57600","2900","5.30","55500","57800","55400","35559021","2036156585500","340971144307200","5919637922"
"2025/03/14","54700","0","0.00","54500","55100","54400","10845154","594158589200","323804194333400","5919637922"
"2025/03/13","54700","-200","-0.36","55800","55900","54200","24132151","1327792389578","323804194333400","5919637922"
"2025/03/12","54900","1300","2.43","53800","55300","53600","17973221","983462164612","324988121917800","5919637922"
"2025/03/11","53600","-100","-0.19","52500","54100","52500","17740891","944012331050","317292592619200","5919637922"
"2025/03/10","53700","0","0.00","53500","54800","53500","12921670","699340880450","317884556411400","5919637922"
"2025/03/07","53700","-600","-1.10","53500","54200","53400","14274992","768393784787","317884556411400","5919637922"
"2025/03/06","54300","300","0.56","54100","54500","54000","12258101","664504901310","321436339164600","5919637922"
"2025/03/05","54000","-500","-0.92","55100","55400","54000","16578817","902621801920","322368257700000","5969782550"
"2025/03/04","54500","0","0.00","53900","55000","53800","18553933","1010214633015","325353148975000","5969782550"
"2025/02/28","54500","-1800","-3.20","55400","55700","54500","28036698","1540205401313","325353148975000","5969782550"
"2025/02/27","56300","-300","-0.53","56500","57100","56200","14975356","846530583128","336098757565000","5969782550"
"2025/02/26","56600","-600","-1.05","57000","57100","56100","18117091","1024931423600","337889692330000","5969782550"
"2025/02/25","57200","-100","-0.17","56600","57800","56500","14625181","837240466372","341471561860000","5969782550"
"2025/02/24","57300","-900","-1.55","57300","57700","57200","14138471","811217100550","342068540115000","5969782550"
"2025/02/21","58200","-200","-0.34","58400","58500","57100","22198428","1281507475862","347441344410000","5969782550"
"2025/02/20","58400","-300","-0.51","59100","59100","58100","21589059","1264910439050","348635300920000","5969782550"
"2025/02/19","58700","1800","3.16","57400","58900","57300","25395151","1481741681100","350426235685000","5969782550"
"2025/02/18","56900","900","1.61","56200","57200","55900","22131007","1254587816860","339680627095000","5969782550"
"2025/02/17","56000","0","0.00","56100","56500","55700","11916027","667145670500","334307822800000","5969782550"
"2025/02/14","56000","200","0.36","56000","57300","56000","23979779","1354475009700","334307822800000","5969782550"
"2025/02/13","55800","0","0.00","56100","56400","55600","22448377","1256946474000","333113866290000","5969782550"
"2025/02/12","55800","100","0.18","55100","55900","54500","26428596","1460112004958","333113866290000","5969782550"
"2025/02/11","55700","100","0.18","55500","56300","55000","24596196","1370657724557","332516888035000","5969782550"
"2025/02/10","55600","1900","3.54","53000","55900","52900","27577591","1505750553500","331919909780000","5969782550"
"2025/02/07","53700","-300","-0.56","53900","54200","53600","14476866","779741308604","320577322935000","5969782550"
"2025/02/06","54000","1100","2.08","53400","54000","53200","16466025","881509435950","322368257700000","5969782550"
"2025/02/05","52900","200","0.38","53600","53800","52800","15974885","849379788350","315801496895000","5969782550"
"2025/02/04","52700","1700","3.33","51600","53600","51500","27214851","1437276277799","314607540385000","5969782550"
"2025/02/03","51000","-1400","-2.67","51100","51400","50800","32344897","1649571739100","304458910050000","5969782550"
"2025/01/31","52400","-1300","-2.42","52200","53000","51700","42186279","2207004262250","312816605620000","5969782550"
"2025/01/24","53700","0","0.00","53600","53800","53200","11867631","635529275550","320577322935000","5969782550"
"2025/01/23","53700","-600","-1.10","53700","54100","53500","15588067","837442426072","320577322935000","5969782550"
"2025/01/22","54300","800","1.50","53400","54400","53100","18341991","984308176550","324159192465000","5969782550"
"2025/01/21","53500","100","0.19","53700","54300","53300","13535702","726599371000","319383366425000","5969782550"
"2025/01/20","53400","-300","-0.56","53600","53900","53300","11822531","633048956700","318786388170000","5969782550"
