Date,Price
2025-03-04,100.36
2025-03-05,100.93
2025-03-06,101.02
2025-03-07,100.21
2025-03-08,100.13
2025-03-09,99.83
2025-03-10,99.29
2025-03-11,98.91
2025-03-12,98.87
2025-03-13,98.56
2025-03-14,98.40
2025-03-15,97.93
2025-03-16,98.69
2025-03-17,98.52
2025-03-18,98.07
2025-03-19,97.46
2025-03-20,97.05
2025-03-21,98.15
2025-03-22,97.63
2025-03-23,97.66
2025-03-24,98.22
2025-03-25,98.32
2025-03-26,98.48
2025-03-27,99.41
2025-03-28,99.82
2025-03-29,99.20
2025-03-30,98.78
2025-03-31,98.34
2025-04-01,98.20
2025-04-02,99.21
2025-04-03,99.05
2025-04-04,98.65
2025-04-05,99.39
2025-04-06,99.85
2025-04-07,99.64
2025-04-08,100.24
2025-04-09,99.53
2025-04-10,98.72
2025-04-11,97.97
2025-04-12,98.60
2025-04-13,99.50
2025-04-14,99.30
2025-04-15,99.63
2025-04-16,99.55
2025-04-17,100.46
2025-04-18,100.91
2025-04-19,101.22
2025-04-20,101.82
2025-04-21,101.09
2025-04-22,100.42
2025-04-23,100.62
2025-04-24,100.43
2025-04-25,100.74
2025-04-26,100.26
2025-04-27,100.13
2025-04-28,100.30
2025-04-29,100.81
2025-04-30,101.79
2025-05-01,102.25
2025-05-02,102.31
2025-05-03,103.22
2025-05-04,103.26
2025-05-05,104.29
2025-05-06,104.15
2025-05-07,103.47
2025-05-08,103.21
2025-05-09,103.92
2025-05-10,104.65
2025-05-11,105.52
2025-05-12,106.61
2025-05-13,106.26
2025-05-14,107.16
2025-05-15,106.45
2025-05-16,107.49
2025-05-17,107.32
2025-05-18,107.87
2025-05-19,107.45
2025-05-20,107.93
2025-05-21,108.33
2025-05-22,108.09
2025-05-23,108.07
2025-05-24,108.70
2025-05-25,109.47
2025-05-26,109.97
2025-05-27,110.63
2025-05-28,110.16
2025-05-29,110.19
2025-05-30,109.96
2025-05-31,109.87
2025-06-01,110.63
2025-06-02,111.34
2025-06-03,110.89
2025-06-04,110.75
2025-06-05,110.30
2025-06-06,110.01
2025-06-07,110.70
2025-06-08,110.05
2025-06-09,109.41
2025-06-10,108.72
2025-06-11,108.52
2025-06-12,109.46
2025-06-13,109.36
2025-06-14,110.28
2025-06-15,111.38
2025-06-16,111.77
2025-06-17,112.60
2025-06-18,111.81
2025-06-19,111.85
2025-06-20,111.67
2025-06-21,112.17
2025-06-22,113.25
2025-06-23,113.86
2025-06-24,114.36
2025-06-25,114.77
2025-06-26,114.12
2025-06-27,113.22
2025-06-28,113.04
2025-06-29,112.92
2025-06-30,113.18
2025-07-01,112.57
2025-07-02,113.50
2025-07-03,113.66
2025-07-04,113.09
2025-07-05,112.99
2025-07-06,114.07
2025-07-07,114.21
2025-07-08,113.99
2025-07-09,114.08
2025-07-10,113.99
2025-07-11,113.50
2025-07-12,114.60
2025-07-13,113.94
2025-07-14,114.19
2025-07-15,113.55
2025-07-16,114.23
2025-07-17,114.32
2025-07-18,114.02
2025-07-19,113.44
2025-07-20,113.93
2025-07-21,114.91
2025-07-22,114.11
2025-07-23,113.46
2025-07-24,114.05
2025-07-25,114.98
2025-07-26,115.41
2025-07-27,115.43
2025-07-28,115.58
2025-07-29,116.24
2025-07-30,115.95
2025-07-31,117.02
